Taxon;AUTEUR;Synonyme ou nom erroné;Groupe;Sous-Groupe;Ordre;Super famille;Famille;Sous_famille;SYSTEMATIQUE;Commentaire
Calopteryx splendens;(Harris, 1782);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;1;
Calopteryx xanthostoma;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;2;
Calopteryx virgo;(Linnaeus, 1758);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;3;
Lestes viridis;(Vander Linden, 1825);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;4;
Lestes barbarus;(Fabricius, 1798);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;5;
Lestes dryas;Kirby, 1890;;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;6;
Lestes macrostigma;(Eversmann, 1836);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;7;
Lestes sponsa;(Hansemann, 1823);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;8;
Lestes virens;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;9;
Sympecma fusca;(Vander Linden, 1820);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;10;
Platycnemis acutipennis;Sélys, 1841;;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;11;
Platycnemis latipes;Rambur, 1842;;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;12;
Platycnemis pennipes;(Pallas, 1771);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;13;
Ceriagrion tenellum;(Villers, 1789);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;14;
Coenagrion mercuriale;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;15;
Coenagrion puella;(Linnaeus, 1758);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;16;
Coenagrion pulchellum;(Vander Linden, 1825);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;17;
Coenagrion scitulum;(Rambur, 1842);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;18;
Enallagma cyathigerum;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;19;
Erythromma lindenii;(Sélys, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;20;
Erythromma najas;(Hansemann, 1823);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;21;
Erythromma viridulum;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;22;
Ischnura elegans;(Vander Linden, 1820);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;23;
Ischnura pumilio;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;24;
Pyrrhosoma nymphula;(Sulzer, 1776);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;25;
Aeshna affinis;Vander Linden, 1820;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;26;
Aeshna cyanea;(Müller, 1764);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;27;
Aeshna grandis;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;28;
Aeshna isoceles;(Müller, 1767);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;29;
Aeshna mixta;Latreille, 1805;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;30;
Anax imperator;Leach, 1815;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;31;
Anax junius;(Drury, 1773);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;32;
Anax parthenope;(Sélys, 1839);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;33;
Boyeria irene;(Fonscolombe, 1838);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;34;
Brachytron pratense;(Müller, 1764);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;35;
Hemianax ephippiger;(Burmeister, 1839);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;36;
Gomphus flavipes;(Charpentier, 1825);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;37;
Gomphus graslini;Rambur, 1842;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;38;
Gomphus pulchellus;Sélys, 1840;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;39;
Gomphus simillimus;Sélys, 1840;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;40;
Gomphus vulgatissimus;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;41;
Onychogomphus forcipatus;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;42;
Onychogomphus uncatus;(Charpentier, 1840);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;43;
